,review_id,review_datePublished,review_author,review_jobTitle,review_worksFor,review_workLocation,review_ratingValue,review_bestRating,review_worstRating,rating_overall,rating_promotions,rating_skilldev,rating_culture,rating_worksatis,rating_salarybenifits,rating_jobsecurity,rating_worklifebal,likes,dislikes,work_details
3323,review-43676954,2023-05-17,Anonymous,RF Planning,Jio,Ranchi,5,,,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good team work ,Nothing else's,"['Work related travel:', '\xa0', 'This is a desk job.']"
3324,review-42095799,2023-04-03,Anonymous,Home Sales Officer,Jio,Coimbatore,3,,,3,1.0,3.0,1.0,1.0,3.0,1.0,3.0,you will take break at any time ,work pressure,"['Work related travel:', '\xa0', 'This is a desk job.']"
3325,review-39392067,2023-01-09,Anonymous,Operations Manager,Jio,Lucknow,5,,,5,4.0,5.0,4.0,4.0,4.0,5.0,4.0,Vast scope of gaining knowledge ,Work culture and employee careness,"['Work related travel:', '\xa0', 'This is a desk job.']"
3326,review-40979737,2023-02-27,Anonymous,Assistant Manager,Jio,Mira Bhayandar,4,,,4,2.0,3.0,2.0,3.0,4.0,4.0,1.0,Secure job and employee benefits are good ,No feedback taking from ground team,[]
3327,review-42572382,2023-04-20,Anonymous,RF Engineer,Jio,New Delhi,5,,,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good company in telecom sector ,Na,"['Work related travel:', '\xa0', 'This is a desk job.']"
3328,review-41590155,2023-03-19,Anonymous,Assistant Manager Operations,Jio,Mumbai,3,,,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Process oriented ,Too much misuse of power by managers,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3329,review-39619481,2023-01-16,Anonymous,Assistant Manager,Jio,Pune,3,,,3,1.0,5.0,1.0,3.0,2.0,2.0,3.0,Learning and skills development is good. ,Job not secure,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3330,review-46629964,2023-07-31,Anonymous,Sales Executive,Jio,Tikamgarh,5,,,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good  job and nice warking ,Not good  jcm bad parsan I want tarminit for JCM,"['Work related travel:', '\xa0', 'This is a desk job.']"
3331,review-39105919,2023-01-01,Anonymous,Fiber Engineer,Jio,Chennai,4,,,4,2.0,3.0,4.0,3.0,3.0,2.0,3.0,Co workers friendliness ,Higher officials trying to feed up their thoughts on us,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3332,review-51353886,2023-10-18,Anonymous,Assistant Manager,Jio,Visakhapatnam,5,,,5,5.0,5.0,3.0,5.0,4.0,4.0,3.0,Good ,No dislikes   good  to work,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3333,review-42872380,2023-05-01,Anonymous,DGM Sales and Marketing,Jio,New Delhi,4,,,4,1.0,2.0,3.0,3.0,4.0,5.0,3.0,Job stability ,Personal growth,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3334,review-40210117,2023-02-03,Anonymous,Senior RF Optimization Engineer,Jio,Bangalore / Bengaluru,5,,,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Nice environment. ,Less hike. More hike means it will become good,"['Work related travel:', '\xa0', 'This is a desk job.']"
3335,review-40701363,2023-02-18,Anonymous,MIS Executive and Coordinator,Jio,Raipur,5,,,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Working experience is very good and joyful ,Nothing,"['Work related travel:', '\xa0', 'This is a desk job.']"
3336,review-46230376,2023-07-12,Anonymous,Warehouse Manager,Jio,Jhansi,5,,,5,4.0,4.0,4.0,4.0,4.0,4.0,5.0,Good work culture ,Nothing as such,"['Work related travel:', '\xa0', 'This is a desk job.']"
3337,review-46001382,2023-07-07,Anonymous,Sales Manager,Jio,Bhagalpur,5,,,5,5.0,5.0,1.0,2.0,5.0,3.0,5.0,Good ,There are culture is very bad,"['Work related travel:', '\xa0', 'This is a desk job.']"
3338,review-45298612,2023-06-26,Anonymous,Tower Engineer,Jio,Hyderabad / Secunderabad,2,,,2,2.0,2.0,2.0,3.0,1.0,4.0,2.0,On time salary ,Less opportunity,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3339,review-39385895,2023-01-09,Anonymous,Store Manager,Jio,Bhopalpattnam,1,,,1,1.0,4.0,1.0,1.0,1.0,4.0,1.0,Worst Work experience ,Not increae Salary and growth,"['Work related travel:', '\xa0', 'This is a desk job.']"
3340,review-37007787,2022-10-29,Anonymous,Android Developer,Jio,Navi Mumbai,4,,,4,5.0,3.0,5.0,5.0,4.0,5.0,5.0,"Very less work load, hence perfect work life balance. ",Very slow growth in terms of career. You don't get much opportunity to work or implement new things.,"['Work days:', '\xa0Monday to Friday\n\t\t\t\t\t\t\t\t\t', ' ', '(Flexible Timings', ')', 'Work related travel:', '\xa0', 'This is a desk job.']"
3341,review-45599234,2023-07-14,Anonymous,Deputy Manager HR,Jio,Navi Mumbai,3,,,3,2.0,3.0,2.0,3.0,2.0,5.0,5.0,Job security ,Lack of clarity on career progression.,[]
3342,review-39647787,2023-01-23,Anonymous,Sales Executive,Jio,Coimbatore,5,,,5,4.0,5.0,5.0,3.0,5.0,4.0,5.0,Good i. Salary ,They didn't provide weekoff properly,"['Work related travel:', '\xa0', 'This is a desk job.']"
3343,review-42956816,2023-08-10,Anonymous,Regulatory Affairs Officer,Jio,Bhiwani,5,,,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Everything to like ,Nothing to dislike,"['Work related travel:', '\xa0', 'This is a desk job.']"
3344,review-42369394,2023-04-13,Anonymous,Senior TSE,Jio,Agra,4,,,4,2.0,5.0,3.0,3.0,3.0,5.0,3.0,Reliance jio provide the good quality of leaning /skills about work ,The company culture is not good,[]
3345,review-36913663,2022-10-25,Anonymous,Manager,Jio,Naihati,2,,,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Nothing is there to like ,"Evrything, starting from the culture of working till employee work life balance. Everything is poor for the front lines sales peoples","['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3346,review-47794200,2023-08-08,Anonymous,Area Loss and Prevention Manager,Jio,Sardarshahar,5,,,5,2.0,4.0,5.0,5.0,5.0,5.0,5.0,All Good ,Nothing to dislike here.,[]
3347,review-48841182,2023-09-02,Anonymous,Senior Engineer,Jio,Navi Mumbai,5,,,5,4.0,3.0,4.0,4.0,4.0,5.0,5.0,"Good team support, job security, work exposure ",Nothing much,"['Work days:', '\xa0Rotational Shift\n\t\t\t\t\t\t\t\t\t', ' ', '(Flexible Timings', ')', 'Work related travel:', '\xa0', 'This is a desk job.']"
3348,review-41361573,2023-03-13,Anonymous,Assistant Manager Operations,Jio,Lucknow,4,,,4,4.0,2.0,1.0,2.0,2.0,5.0,3.0,Job security is good but company culture is pathetic ,Regular 8 to 10 con calls was very hectic,"['Work related travel:', '\xa0', 'This is a desk job.']"
3349,review-41627227,2023-03-20,Anonymous,Assistant Manager,Jio,Bangalore / Bengaluru,4,,,4,2.0,4.0,4.0,4.0,3.0,4.0,4.0,Teams and culture ,Increment/appraisal,"['Work days:', '\xa0Monday to Saturday\n\t\t\t\t\t\t\t\t\t', ' ', '(Flexible Timings', ')', 'Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within Country,\xa0', 'Travel Within City.']"
3350,review-41576697,2023-03-18,Anonymous,Manager Network Operations,Jio,Madurai,5,,,5,4.0,5.0,5.0,5.0,4.0,5.0,4.0,Good Company ,"Nothing ,as requested company provides all",[]
3351,review-39930717,2023-02-07,Anonymous,Assistant Manager,Jio,Kolkata,3,,,3,5.0,5.0,2.0,2.0,5.0,1.0,1.0,Dislikes ,Company is good but there working bosses are not good and not good behaviour he behave like dog,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3352,review-30178197,2022-05-23,Anonymous,Radio Access Network Engineer,Jio,Navi Mumbai,5,,,5,1.0,3.0,2.0,3.0,2.0,3.0,4.0,can survive as long as satisfied with present earnings ,"No growth or opportunity's provided for existing  employees , they recruit outside from organization, internal talents not encouraged and move forward in career, Jio serving entire country but official communication language is hindi, no transportation facility for employees, all deduction(pf, insurance, gratuity)  are made from employee salary,  yearly incremental are very poor..","['Work days:', '\xa0Rotational Shift\n\t\t\t\t\t\t\t\t\t', ' ', '(Flexible Timings', ')', 'Work related travel:', '\xa0', 'This is a desk job.']"
3353,review-40457363,2023-02-11,Anonymous,Senior Manager,Jio,Bettiah,3,,,3,3.0,3.0,2.0,3.0,3.0,4.0,2.0,Job security n engagement ,Work life balance has been poor. Working cultural not as per overall organisation reputations.,[]
3354,review-44298826,2023-06-03,Anonymous,Assistant Manager,Jio,Nangal,5,,,5,1.0,5.0,5.0,5.0,4.0,5.0,5.0,Supportive Team ,No promotions no satisfaction Approval,"['Work related travel:', '\xa0', 'This is a desk job.']"
3355,review-53703462,2023-12-21,Anonymous,Jio,Jio,Jhansi,5,,,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good ,Nothing too saydislike about working at jiofiber,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within Country.']"
3356,review-40317917,2023-02-07,Anonymous,Deputy Manager,Jio,Barnala,4,,,4,4.0,5.0,3.0,4.0,4.0,5.0,3.0,There is so many things to learn ,If you have not any options for job then you should go for Jio,[]
3357,review-51432928,2023-11-01,Anonymous,Area Financial Manager,Jio,Bhubaneswar,3,,,3,1.0,1.0,1.0,1.0,3.0,3.0,3.0,Salary paid on time ,Work culture and work life balance,"['Work related travel:', '\xa0', 'This is a desk job.']"
3358,review-53366614,2023-12-18,Anonymous,Enterprises Sales Officer,Jio,Bathinda,1,,,1,1.0,1.0,1.0,1.0,3.0,1.0,1.0,nothing ,there works politics only,[]
3359,review-43149740,2023-05-07,Anonymous,Digital Repair Specialist,Jio,Kakinada,4,,,4,2.0,2.0,3.0,2.0,4.0,3.0,4.0,Good atmosphere ,Less salary and more parameters non related to after sales support that too with targets which leads to pressures.,"['Work related travel:', '\xa0', 'This is a desk job.']"
3360,review-40341889,2023-02-15,Anonymous,Software Engineer,Jio,Indore,4,,,4,4.0,4.0,4.0,4.0,4.0,5.0,4.0,good work culture here ,nothing problem in company,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3361,review-42055621,2023-04-02,Anonymous,Material Coordinator,Jio,Navi Mumbai,5,,,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Great place to work ,Nothing,"['Work related travel:', '\xa0', 'This is a desk job.']"
3362,review-39222149,2023-01-04,Anonymous,Assistant Finance and Compliance Manager,Jio,Ahmedabad,5,,,5,3.0,3.0,5.0,4.0,4.0,5.0,4.0,Good work life balance ,Promotion and salary not good,"['Work related travel:', '\xa0', 'This is a desk job.']"
3363,review-39699243,2023-01-19,Anonymous,Activation Officer,Jio,Kolkata,4,,,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,So much benifits.. medical policy good ,Incentive program,"['Work related travel:', '\xa0', 'This is a desk job.']"
3364,review-52470782,2023-11-22,Anonymous,Jio Point Manager,Jio,Srinagar,5,,,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Great company ,Nothing   to say,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3365,review-44796412,2023-06-15,Anonymous,Senior Executive,Jio,Osmanabad,3,,,3,4.0,4.0,4.0,4.0,3.0,2.0,3.0,Best ,Job not safe in life,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3366,review-43660386,2023-05-31,Anonymous,Channel Sales Lead,Jio,Nabadwip,5,,,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Satisfied with this job ,No disliking,"['Work days:', '\xa0Monday to Saturday\n\t\t\t\t\t\t\t\t\t', ' ', '(Flexible Timings', ')', 'Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City,\xa0', 'Travel Within Country.']"
3367,review-42407250,2023-04-14,Anonymous,Home Sales Officer,Jio,Rajsamand,5,,,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good work ,Kuch bhi nahi,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3368,review-40600685,2023-02-15,Anonymous,Seles Man,Jio,Mumbai,3,,,3,2.0,3.0,2.0,2.0,1.0,2.0,2.0,It's a large telecom sector ,Job insecurity,"['Work related travel:', '\xa0', 'This is a desk job.']"
3369,review-40854103,2023-02-23,Anonymous,Fiber Engineer,Jio,Madurai,4,,,4,4.0,4.0,4.0,4.0,3.0,3.0,4.0,Good company impure the skills ,Salaries no  hike that's was dislike,[]
3370,review-40318577,2023-02-07,Anonymous,Sales Officer,Jio,Mehsana,5,,,5,5.0,5.0,4.0,5.0,4.0,5.0,5.0,Yes jio networking group done .in job vacancies for your reply ,No,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3371,review-41829665,2023-03-25,Anonymous,SCM Lead,Jio,Tiruchengode,4,,,4,3.0,4.0,4.0,4.0,4.0,4.0,4.0,Okay ,Good environment and excellent experience,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within Country,\xa0', 'Travel Within City.']"
3372,review-41822731,2023-03-25,Anonymous,Jio Point Manager,Jio,Virudhunagar,4,,,4,3.0,3.0,3.0,3.0,4.0,4.0,4.0,Work life balace ,Target Acquisition,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3373,review-52402770,2023-11-20,Anonymous,Assistant Manager,Jio,Muzaffarpur,4,,,4,4.0,3.0,4.0,4.0,4.0,4.0,4.0,Felxible working hours ,Nothing to be dislike,[]
3374,review-38325003,2022-12-11,Anonymous,SCM Assistant,Jio,Noida,4,,,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,"Good working Experience, leaders, team, market position ",No opportunity for advancement,"['Work related travel:', '\xa0', 'This is a desk job.']"
3375,review-41954653,2023-06-06,Anonymous,Store Manager,Jio,New Delhi,5,,,5,3.0,5.0,4.0,4.0,5.0,5.0,5.0,Good ,Good work place for knowledge,"['Work related travel:', '\xa0', 'This is a desk job.']"
3376,review-41961497,2023-03-29,Anonymous,Onboarding Lead,Jio,Pilibhit,5,,,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Everything is good here ,nothing like that spoil it,"['Work related travel:', '\xa0', 'This is a desk job.']"
3377,review-46712080,2023-07-22,Anonymous,Sales,Jio,Satara,5,,,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Very nice job for sales have a good experience in sales and marketing developing skills and and much growth on jio ,No dislike,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3378,review-40166851,2023-02-02,Anonymous,Onboarding Lead,Jio,Indore,5,,,5,2.0,3.0,5.0,2.0,2.0,3.0,2.0,Very Good ,Growth very slow in customer service department,"['Work related travel:', '\xa0', 'This is a desk job.']"
3379,review-38904651,2022-12-29,Anonymous,Jio Point Manager,Jio,Gopalganj,5,,,5,5.0,4.0,4.0,4.0,5.0,5.0,5.0,Good working good morning metting with the group ,Work in home in india and in meeting with you and in meeting,[]
3380,review-40735315,2023-02-19,Anonymous,Team Lead 1,Jio,Jalandhar,5,,,5,2.0,5.0,5.0,5.0,2.0,2.0,5.0,"Great, but field person, only demand, support ","Only buttering culture should be stop, and skillful person is limited due to this buttering","['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within Country.']"
3381,review-40826049,2023-02-22,Anonymous,Fiber Engineer,Jio,Kolkata,5,,,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Very good work culture ,Very good work culture,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City,\xa0', 'International Travel.']"
3382,review-37851225,2022-11-25,Anonymous,Onboarding Lead,Jio,Hyderabad / Secunderabad,3,,,3,2.0,5.0,1.0,2.0,2.0,5.0,1.0,I dont even know whether to say this or not..just going on ,No growth in csd department its my personal opinion,"['Work related travel:', '\xa0', 'This is a desk job.']"
3383,review-40101321,2023-02-01,Anonymous,Activation Officer,Jio,Navi Mumbai,5,,,5,3.0,4.0,5.0,4.0,4.0,5.0,5.0,No work pressure... Friendly environment ,Nothing to dislike,"['Work days:', '\xa0Rotational Shift\n\t\t\t\t\t\t\t\t\t', ' ', '(Strict Timings', ')']"
3384,review-42921018,2023-10-08,Anonymous,Assistant Manager,Jio,Hyderabad / Secunderabad,5,,,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good communication ,Behaviour not good,"['Work days:', '\xa0Monday to Friday\n\t\t\t\t\t\t\t\t\t', ' ', '(Flexible Timings', ')']"
3385,review-42535346,2023-04-19,Anonymous,Broadband Engineer,Jio,Kolkata,4,,,4,2.0,4.0,2.0,3.0,3.0,2.0,3.0,Listening the hardware and software problems ,"Working Culture is so bad..
No promotion",[]
3386,review-39281915,2023-01-06,Anonymous,Assistant Manager,Jio,Nagpur,3,,,3,2.0,2.0,1.0,3.0,3.0,2.0,3.0,Salary on time ,"Work culture 
No job security","['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3387,review-41903379,2023-03-28,Anonymous,Senior Executive,Jio,Bijnor,5,,,5,3.0,5.0,5.0,5.0,5.0,3.0,5.0,Every thing ,Their is nothing to dislike,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3388,review-39577867,2023-01-15,Anonymous,Fttx Construction Engineer,Jio,Bangalore / Bengaluru,5,,,5,5.0,5.0,5.0,5.0,2.0,5.0,5.0,All work place to be Good ,No need to mention any,"['Work related travel:', '\xa0', 'This is a desk job.']"
3389,review-41071045,2023-03-02,Anonymous,National Sales Manager,Jio,Navi Mumbai,5,,,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,I am so happy to be part of this big shark. ,Nothing as of now.,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3390,review-37784585,2022-12-23,Anonymous,RF Optimization Engineer,Jio,Jehanabad,4,,,4,3.0,4.0,4.0,5.0,3.0,4.0,4.0,"Good organization, good plate form to learn about new technology. ",Promotion and appraisal is not good,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3391,review-39635487,2023-01-17,Anonymous,Senior Software Engineer,Jio,Navi Mumbai,3,,,3,2.0,3.0,3.0,3.0,3.0,3.0,3.0,Job security and work life balance ,Late Appraisal in the company,"['Work days:', '\xa0Monday to Friday\n\t\t\t\t\t\t\t\t\t', ' ', '(Flexible Timings', ')', 'Work related travel:', '\xa0', 'This is a desk job.']"
3392,review-38661205,2022-12-29,Anonymous,Deputy Manager,Jio,Raipur,4,,,4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,All the process & systems which is involved in day to day work. ,HR system,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within Country.']"
3393,review-38174919,2022-12-05,Anonymous,Assistant Manager,Jio,Pune,4,,,4,4.0,3.0,5.0,5.0,4.0,5.0,4.0,Proud feeling that working in a India's most valuable company. ,Nothing here so much for dislike,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3394,review-24907413,2023-01-23,Anonymous,Deputy Manager,Jio,Nagpur,3,,,3,2.0,2.0,3.0,2.0,3.0,2.0,1.0,Company is Highly Technology Updated Fully Digital India Brand ,No Work life Balance & no Job Security also no Work Satisfaction,"['Work days:', '\xa0Monday to Friday\n\t\t\t\t\t\t\t\t\t', ' ', '(Flexible Timings', ')', 'Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'International Travel,\xa0', 'Travel Within Country.']"
3395,review-49254820,2023-09-12,Anonymous,Software Engineer,Jio,Mumbai,3,,,3,3.0,3.0,4.0,4.0,3.0,5.0,5.0,"Great campus
Work life ","Poor Appraisal
Less transparency",[]
3396,review-38923007,2022-12-30,Anonymous,Assistant Warehouse Incharge,Jio,New Delhi,5,,,5,2.0,4.0,5.0,5.0,3.0,5.0,5.0,Only Job security ,Give promotions after at least 5 years,"['Work related travel:', '\xa0', 'This is a desk job.']"
3397,review-30855383,2022-05-26,Anonymous,Product Manager,Jio,Mumbai,3,,,3,4.0,2.0,3.0,3.0,4.0,2.0,3.0,"Opportunities are not given for learning and development. The company is good only for those employees who are expert in their fields, not good for fresher. Lots of micro management, infielders and unhelpful in the system. ","Toxic culture, manipulative rating across all their products and employee services. No body cares about your problem because everyone is loaded with lots of work, its total chaos in the system.","['Work related travel:', '\xa0', 'This is a desk job.']"
3398,review-41808575,2023-03-25,Anonymous,Engineer- Customer Support,Jio,New Delhi,1,,,1,1.0,2.0,4.0,3.0,2.0,2.0,1.0,Reliance  good company ,Good,"[' ', 'Work timings:\xa0', 'Flexible Timings', 'Work related travel:', '\xa0', 'This is a desk job.']"
3399,review-41648039,2023-03-21,Anonymous,Assistant Manager,Jio,Saharanpur,5,,,5,3.0,5.0,4.0,4.0,5.0,5.0,5.0,Good Platform for learning. ,Nil,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3400,review-41646923,2023-03-21,Anonymous,Assistant Manager,Jio,Sangli,3,,,3,3.0,4.0,4.0,2.0,5.0,2.0,2.0,Salary satisfaction ,Work undefined time,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3401,review-41615483,2023-03-20,Anonymous,Jio Point Manager,Jio,Haldwani,5,,,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,I am working well in Jio for 2 years ,No,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3402,review-42558310,2023-04-19,Anonymous,Assistant Manager,Jio,Gurgaon / Gurugram,4,,,4,2.0,4.0,5.0,3.0,2.0,5.0,3.0,teammates and opportunity to learn new things ,hr services and increment,[]
3403,review-44368766,2023-06-05,Anonymous,Senior Executive,Jio,Navi Mumbai,5,,,5,4.0,4.0,5.0,5.0,5.0,5.0,5.0,Good over all about the company ,Nothing to say on this,"['Work days:', '\xa0Monday to Saturday\n\t\t\t\t\t\t\t\t\t', ' ', '(Flexible Timings', ')']"
3404,review-40317853,2023-02-07,Anonymous,Assistant Manager MIS,Jio,Kolkata,3,,,3,2.0,4.0,3.0,3.0,3.0,3.0,3.0,Good to learn more ,Work and personal life,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3405,review-37284603,2022-11-18,Anonymous,Assistant Manager,Jio,Lucknow,5,,,5,2.0,5.0,5.0,5.0,5.0,5.0,5.0,Thankful to Reliance Jio being a member of Jio family learning and skills development ,Not a special dislike apart of promotion,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within Country,\xa0', 'Travel Within City.']"
3406,review-45026466,2023-06-20,Anonymous,Mobility Sales Lead,Jio,Chennai,1,,,1,2.0,1.0,1.0,1.0,3.0,1.0,1.0,"Nothing to Say,Wrong Decision to Join this Company ","Work Culture,Politics,Level of Mgmt,No Support",[]
3407,review-44678322,2023-06-12,Anonymous,Sdet Automation Test Engineer,Jio,Gurgaon / Gurugram,5,,,5,3.0,4.0,4.0,4.0,4.0,5.0,5.0,Work culture is good. Learnings are great. ,No such dislikes,[]
3408,review-41606733,2023-03-19,Anonymous,Assistant Manager,Jio,Patiala,5,,,5,3.0,5.0,3.0,3.0,5.0,3.0,5.0,Good experience with jio ,Nothing,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3409,review-41584935,2023-03-19,Anonymous,Senior Executive,Jio,Dungargarh,4,,,4,3.0,3.0,4.0,3.0,3.0,4.0,3.0,Good support for senior ,Work time,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3410,review-39582397,2023-08-19,Anonymous,Deputy Manager,Jio,Lucknow,3,,,3,1.0,1.0,1.0,1.0,2.0,3.0,2.0,Job security ,"Salary,benifits promotion ,learning, disturbing profile.biased management .","['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3411,review-40286439,2023-02-06,Anonymous,Assistant Manager,Jio,Saharanpur,1,,,1,1.0,2.0,3.0,3.0,1.0,4.0,3.0,Job satisfaction ,Career growth very poor,"['Work related travel:', '\xa0', 'This is a desk job.']"
3412,review-38924353,2022-12-30,Anonymous,Deputy Manager,Jio,Kolkata,4,,,4,2.0,4.0,3.0,3.0,3.0,4.0,4.0,Work life balance ,Poor appraisal of Level 1 employees,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3413,review-39002703,2023-01-10,Anonymous,Senior Associate,Jio,Navi Mumbai,5,,,5,4.0,4.0,4.0,5.0,5.0,5.0,4.0,Good support from Team lead and manager specially from collegues. ,No comments on this,"['Work related travel:', '\xa0', 'This is a desk job.']"
3414,review-42834512,2023-04-30,Anonymous,Home Sales Officer,Jio,Mumbai,4,,,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,My TL Behavior is good ,Yes My manager behavior is not good,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3415,review-48058920,2023-08-14,Anonymous,Associate Manager,Jio,Pune,3,,,3,3.0,3.0,3.0,3.0,3.0,4.0,3.0,Average work culture ,politics in company,[]
3416,review-41569309,2023-03-18,Anonymous,Assistant Manager,Jio,Bhilai Nagar,5,,,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Very good ,Working hours,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City,\xa0', 'Travel Within Country.']"
3417,review-47005476,2023-07-28,Anonymous,Fttx Construction Lead,Jio,Vadodara,4,,,4,3.0,4.0,3.0,3.0,3.0,3.0,3.0,Great ,Nothing will bad all is good,[]
3418,review-40873223,2023-02-23,Anonymous,Associate Engineer,Jio,Kodarma,5,,,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Work Are Amazing Here ,Salary very Low in Associate,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3419,review-43942966,2023-05-24,Anonymous,Fiber Engineer,Jio,Mandsaur,5,,,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Best work place in all people ,No objection for my side,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within Country.']"
3420,review-40404723,2023-02-21,Anonymous,Fiber Engineer,Jio,Khargone,5,,,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good climate here for work ,24*7 work profile,"['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3421,review-36778339,2022-10-19,Anonymous,Enterprise Channel Manager,Jio,Kolkata,2,,,2,3.0,2.0,2.0,2.0,4.0,2.0,1.0,Good infrastructure ,"Unsystematic reporting methods, mid and state level management incapable and ill mannered. Hire & Fire methods in all divisions.","['Work related travel:', '\xa0This job involves\n\t\t\t\t\t\t\t\t', 'Travel Within City.']"
3422,review-41549101,2023-03-18,Anonymous,Channel Sales Lead,Jio,Madurai,3,,,3,3.0,3.0,2.0,2.0,3.0,3.0,3.0,Good Pressure Handling ,Waste of time,[]
